scorer,,,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena,Mena
bodyparts,,,Head,Head,Snout,Snout,LeftEar,LeftEar,RightEar,RightEar,Shoulder,Shoulder,Spine1,Spine1,Spine2,Spine2,Spine3,Spine3,Spine4,Spine4,TailBase,TailBase,Tail1,Tail1,Tail2,Tail2,TailEnd,TailEnd,LeftPaw1,LeftPaw1,RightPaw1,RightPaw1,LeftPaw2,LeftPaw2,RightPaw2,RightPaw2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Grupo2R4S30,img00340.png,424.9809291789627,319.80784276828985,,,437.1758676953481,330.10162928323876,411.5897346501928,317.95905766858874,429.8035920721677,308.85212895760134,434.3282319009411,293.21601483321245,433.97645401655467,273.35856609618725,429.5245231901553,257.17937415670656,422.0369494600933,244.59396288491328,410.61672912214556,231.8078308099531,394.7867243247596,180.44825968954538,373.68005126157834,154.4166962449552,332.52203878837497,135.77246837247844,,,,,,,400.41517047494125,299.34918461213306
labeled-data,Grupo2R4S30,img01100.png,176.38885261960752,305.1830689179714,190.81174587944804,320.6612958309709,190.81174587944804,303.42417949603964,165.48373820363057,308.3490698774486,172.87107377574398,294.27795450199443,171.1121843538122,270.005280479336,172.87107377574398,244.32549491913215,181.3137430010165,227.4401564685872,186.5904112668118,211.96192955558757,193.9777468389252,196.483702642588,205.23463913928856,160.2505805507936,183.4244103073346,132.81190556865795,154.93040167203995,167.28613823852066,,,,,,,,
labeled-data,Grupo2R4S30,img01780.png,705.7123031151882,782.769716140197,708.8255633618833,794.8457524804832,711.8347122288461,770.0781425754818,698.6407518121631,796.003117429315,695.5664550100762,777.9851338928777,676.9189343161495,768.0108786379866,658.2714136222227,761.9395928306616,633.552607120971,760.2049397428544,608.8338006197192,767.143552094083,581.9466777587086,774.5158277172634,546.819952730614,776.6841440770222,506.0556051671462,788.8267156916722,451.8476961731731,794.0306749550937,,,669.1129954210173,796.1989913148526,,,,
labeled-data,Grupo2R4S30,img01900.png,430.0080126409442,820.9167636767434,,,441.9684607100802,819.1578742548115,418.04756457180815,815.2883175265617,430.71156840971685,805.7903146481301,436.6917924442849,789.2567540819715,447.94868474464823,776.2409723596766,464.4822453108069,765.6876358280858,480.31225010819276,748.0987416087681,501.0671452869877,731.5651810426094,544.6876029508956,713.6245089389054,572.1262779330311,684.4269445348381,619.2645144408026,679.1502762690427,,,415.58511938110365,762.8734127529949,,,,
labeled-data,Grupo2R4S30,img02310.png,244.0108025053761,119.79368690850413,264.76569768417096,119.7936869085041,239.43769000835348,104.31545999550454,242.60369096783066,135.2719138215037,225.7183525172857,121.90435421482223,210.59190348867247,120.49724267727683,192.29945350058205,121.90435421482223,170.84100255301448,125.77391094307214,148.67899583667418,132.1059128620265,125.46165546717481,156.02680900029856,74.4538622311535,207.38638012070624,75.1574179999262,245.0266137500461,102.5960929820618,272.1135108477954,,,225.014796748513,143.3628051623898,172.24811409055985,160.59992149732116,,
labeled-data,Grupo2R4S30,img02350.png,436.4333052647117,95.87279077023206,438.5439725710298,67.02700425055102,426.9353023862801,87.78189942934591,446.2830860275296,103.61190422673184,424.47285719557567,106.77790518620901,408.9946302825761,113.10990710516339,389.99862452571296,116.62768594902693,366.0777283874409,114.51701864270879,336.5283860989872,107.83323883936808,319.99482553282854,110.29568403007255,263.7103640310119,115.22057441148152,226.07013040167203,139.49324843413993,208.12945829796797,169.04259072259364,,,423.06574565803027,77.2285628977553,,,,
labeled-data,Grupo2R4S30,img03150.png,729.6596424294776,537.7604020741319,704.833817518328,552.598826158957,739.076334637155,549.7452830657213,729.9449967388011,523.2073322986304,739.6470432558021,529.4851271037487,749.0637354634796,520.924497824042,758.1950733618335,508.6542625231289,764.4728681669517,492.389066891686,765.614285404246,471.84355662038985,763.3314509296575,456.14906960759413,762.3676922350495,410.7507014117169,773.5716075544974,365.275986291605,736.6645923845515,344.1862633373502,,,723.8095307554477,511.0395765360511,,,732.3701600351544,489.6380033367842
labeled-data,Grupo2R4S30,img04230.png,440.62084480959743,798.1759466450169,430.0675082780068,825.2628437427661,457.85796114452876,799.5830581825624,431.8263976999386,782.3459418476309,451.17418134118805,786.2154985758808,463.48640729471043,777.421051466222,477.2057447857782,772.8479389691994,492.3321938143914,771.7926053160404,511.3281995712546,771.440827431654,531.7313168656631,764.7570476283133,579.5731091422072,759.480379362518,616.158009118388,768.9783822409495,612.2884523901382,726.765036114587,,,,,,,,
labeled-data,Grupo2R4S30,img06600.png,585.2911575188855,112.8962088645556,,,579.2198717115606,99.01898416209849,587.8931371505962,128.94174992677165,575.3169022639945,114.19719868041096,557.970371385923,113.76353540845918,534.5525547005267,109.42690268894134,513.736717646841,111.16155577674846,494.65553368096255,116.3655150401699,475.574349715084,126.77343356701272,409.6575323784127,139.78333172556626,378.867440069836,181.84866910488938,357.1842764722468,193.99124071953938,,,578.352545167657,134.14570919019306,,,,
labeled-data,Grupo2R4S30,img06770.png,771.3327011862012,91.21304526696636,781.740619713044,60.42295295838966,757.0218132117923,86.00908600354495,782.1742829849959,93.3813616267253,765.695078650828,98.15165761819492,755.720823395937,105.52393324137526,748.3485477727565,115.06452522431454,732.7366699824925,122.0031375755431,716.6911289202764,125.03878047920557,701.9465776739157,131.97739283043413,641.2337196006658,147.58927062069833,611.7446171079445,156.2625360597341,573.1485859042357,131.97739283043413,766.1287419227799,54.351667151064674,791.7148749679352,56.51998351082358,,,742.7109252373834,142.38531135727698
